Column1;Date;Case Number;ItemInCase;Language;Country;Repairability Index;Size;Model name;Year;General condition;Wash;Fabric;Fabric failure - Membrane delamination;Fabric failure - Leak through;Fabric failure - Wetting out;Fabric failure - Down leakage;Fabric failure - Fading;Fabric failure - Pilling;Fabric torn - Rips - Patchable;Fabric torn - Rips - Not patchable - 1 panel;Fabric torn - Rips - Not patchable - X panels;Fabric torn - Abrasion - Light;Fabric torn - Abrasion - Heavy - 1 panel;Fabric torn - Abrasion - Heavy - X panels;Fabric torn - Burn - Patchable - ;Fabric torn - Burn - Not patchable - 1 panel;Fabric torn - Burn - Not patchable - X panels;Fabric torn - Stain;Fabric torn - Membrane contamination - Light;Fabric torn - Membrane contamination - Heavy;Zipper failure - Zipper structureMain;Zipper failure - Zipper structureAll except main;Zipper failure - Zipper slider;Delamination - Press;Delamination - 70D Nylon;Delamination - Seam tape;Seam failure - Seam sewn non-WBW Membrane;Delamination - Seam sewn WBW Membrane;Delamination - Seam laminated;Other - Buckle;Known_issue;Repair solution;Repair Threshold;Customer Offer;Product_type;Age;Repair Threshold Status
242;11/28/19;1114766;1;EN;Australia;10;S;Sargasso ar men;2019;2_Good;No;Down Loft;;;;;;;;Inner pocket frayed seam coming appart;;;;;;;;;;;;;;;;;left laminated pocket, ;;;;No;Yes;3;Replacement;shell;0;below
282;12/5/19;1115359;1;EN;Australia;10;M;Atlantis sv jacket men;2016;2_Good;No;WBW 3L Membrane;both cuffs, lower back, ;;;;;;;left arm pits, ;;;;;;;;;;neck, arm pits, ;;;;all zippers, hood facing, drawcod stopper at hem and hood, ;;both cuffs, ;;;;;No;Yes;1008;Replacement;shell;3;above
412;12/30/19;1115507;1;EN;Australia;10;L;Mediterranean lt women;2011;2_Good;No;K Fleece;;;;;;;right panel lower, ;;;both cufs, ;;;;;;;;;;;;;hem drew cord, ;;tuck and sew both cuffs, restitch ends on both pocket flaps, ;;;;No;Yes;3;Repair;shell;8;below
316;12/11/19;1115629;1;EN;Australia;10;M;Boreal sl jacket men;2009;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;neck pad, zippers,;;neck, hem drawcord, ;;;;;No;Yes;5;Replacement;shell;10;below
328;12/12/19;1115768;1;EN;Australia;10;L;Atlantis sv jacket women;2008;1_Used;No;WBW 3L Membrane;front right panel, ;;;;;;;;;;;;;;;;;around neck, ;;;;pocket bags, lam pocket, hood facing, all zippes, hood drew cord, ;all, including donuts inside pockets bags, ;both cuffs, neck, arm pit zip donuts, around hem, pockt bag donuts, ;;;;;No;Yes;1008;30% Discount;shell;11;above
306;12/10/19;1116135;1;EN;Australia;10;S;Boreal ar jacket women;2008;3_Excellent;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;main zipper, ;;;lining both cuffs, lam pocket, hood facing, ;all, ;both cuffs, neck, pocket bag donuts, ;;;;;No;Yes;11;Repair;shell;11;above
319;12/11/19;1116146;1;EN;Australia;10;L;Bering sv jacket men;2012;3_Excellent;No;WBW 3L Membrane;;;;;;;;right hand pocket,;;;;;;;;;;;main zipper, ;right pocket zipper, ;;chest pockets, ;;;;;;;No;Yes;11;Repair;shell;7;above
639;2/3/20;1116159;1;EN;Australia;2;M;Red jacket women;2007;1_Used;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;main zippe, ;;;all zippers, hood facing, cuffs lining, ;all,;;;;;;No;No;9;30% Discount;shell;13;above
397;12/20/19;1116165;1;EN;Australia;10;XXL;Boreal ar jacket men;2013;1_Used;No;WBW 3L Membrane;arms, cuffs, ;;;;;;;;;;;arm pits, front panels, ;;;;;;;;;;all zippers, ;;;;;;;No;Yes;1009;30% Discount;shell;6;above
398;12/20/19;1116168;1;EN;Australia;10;XXL;Mediterranean lt jacket men;2015;2_Good;No;K Fleece;;;;;;;;;;;;;;;;;;;;;main zipper, ;;;;both cuffs, pocket flaps ends;;;;No;Yes;1;Repair;shell;4;below
310;12/10/19;1116191;1;EN;Australia;10;L;Boreal ar jacket women;2010;1_Used;No;WBW 3L Membrane;neck, ;;;;;;;;;;;;;;;;;neck, collar, arm pits, ;;;;lam pocket, pocketbag, neck pad, hood facing, ;all, ;neck, pocket bag donuts, arm pit zip donuts, ;;;;;No;Yes;1008;30% Discount;shell;9;above
445;1/6/20;1116208;1;EN;Australia;10;M;Ionian ar jacket women;2012;2_Good;No;WBW 3L Membrane;;upper back, ;;;;;;;;;;;;;;;back, ;;;;;all zippers, hood facing, ;all including donuts inside pockets, ;neck and arm pit donuts, both cuffs, ;;;;;No;Yes;1008;Replacement;shell;8;above
358;12/17/19;1116328;1;EN;Australia;10;L;Atlantis sl jacket men;2016;2_Good;No;WBW 2L Membrane;;;;;;;;left arm, ;;;;;;;;;;;;;;;;;;;;;No;Yes;3;50% Discount;shell;3;below
685;2/7/20;1116354;1;EN;Australia;2;M;Mediterranean lt men;2016;2_Good;No;K Fleece;;;;;;shoulders, ;;;;;;;;right sleeve, ;;;;;;;;;;;;;;;No;No;3;50% Discount;shell;4;above
317;12/11/19;1116361;1;EN;Australia;10;L;Tasman lt women;2017;2_Good;No;Down Loft;;;;back, ;;;;;;;;;;;;;;;main zipper, ;;;;;;;;;;No;Yes;1003;Replacement;shell;2;above
325;12/11/19;1116548;1;EN;Australia;10;M;Boreal ar jacket women;2006;1_Used;No;WBW 3L Membrane;Shoulders, neck, ;;;;;;;;;;;;;;;;;;main zipper, ;;;lining both cuffs, all zippers, neck pad, hood facing, ;all, ;both cuffs, neck, ;;;;;No;Yes;1011;30% Discount;shell;13;above
339;12/13/19;1116666;1;EN;Australia;10;M;Ionian ar jacket men;2011;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;;;hood facing, all zippers, ;all, including donuts inside pocket bags, ;both cuffs, neck, pocket bag donuts, arm pit donuts, ;;;;;No;Yes;8;Repair;shell;8;below
323;12/11/19;1116667;1;EN;Australia;10;XL;Ionian ar jacket men;2011;2_Good;No;WBW 3L Membrane;lower right front panel, lower left front panel, lower right front  panel;;;;;;;;;;;;;;;;everywhere, ;neck, ;;;;lam pocket, pocket bags, hood facing, all zippers, ;all including donuts inside pocket bags, ;both cuffs, neck, pocketbag donuts, arm pit donuts, at hem both sides;;;;;No;Yes;1008;Replacement;shell;8;above
309;12/10/19;1116672;1;EN;Australia;10;XL;Tasman lt men;2014;1_Used;No;Down Loft;;;;;;;;left arm, ;;;;;;;;;;;;;main zipper, ;;;;;;;;No;Yes;4;50% Discount;shell;5;below
330;12/12/19;1116680;1;EN;Australia;10;XL;Mediterranean lt women;2014;1_Used;No;K Fleece;;;;;;;;left pocket bag, ;;;;;;;upper left front panel, lower right front panel, ;;;;;;main zipper, ;;;;both cuffs, ;;;;No;Yes;10;50% Discount;shell;5;equal
345;12/13/19;1116684;1;EN;Australia;10;M;Tasman lt women;2015;2_Good;No;Down Loft;;;;;;;;left arm ,;;;;;;;;;;;main zipper, ;;;;;;;;;;No;Yes;6;50% Discount;shell;4;below
349;12/16/19;1116688;1;EN;Australia;10;S;Boreal ar jacket women;2010;2_Good;No;WBW 3L Membrane;arm ptis, ;;;;;;;;;;;;;;;;;neck, ;;;;all zippers, pocket bags, lam pocket, neck pad, hood facing, ;all, ;both cuffs, neck, arm pit donuts, pocketbag donuts, hood cord tunnel, ;;;;;No;Yes;1008;30% Discount;shell;9;above
344;12/13/19;1116695;1;EN;Australia;10;M;Boreal sl jacket women;2011;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;;all, ;neck, pocket bag dontus;;;;;No;Yes;5;Replacement;shell;8;below
369;12/17/19;1116914;1;EN;Australia;10;S;Mediterranean lt men;2016;2_Good;No;K Fleece;;;;;;;;front panel;;;;;;;;;;;;;;;;;;;;;No;Yes;3;50% Discount;shell;3;below
350;12/16/19;1116925;1;EN;Australia;10;L;Ionian ar jacket men;2007;2_Good;No;WBW 3L Membrane;;;;;;;;;;boh cuffs, ;;;;;;;;;main zipper, ;;;lining both cuffs, all zippers, hood facing, lam pocket, pocket bags, ;donuts inside pocket ;both cuffs, pocket bags donuts, hood cord tunnel, arm pit donuts, neck, ;;;;;No;Yes;11;30% Discount;shell;12;above
337;12/13/19;1116955;1;EN;Australia;10;S;Tasman lt women;2015;2_Good;Yes;Down Loft;;;;lower back, ;;;;left side, ;;;;;;;;;;;main zipper, ;;;;;;;;;;No;Yes;1006;50% Discount;shell;4;above
364;12/17/19;1116969;1;EN;Australia;10;XS;Solomon jacket women;2018;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;main zipper, ;;;;;;;;;;No;Yes;3;Repair;shell;1;below
336;12/13/19;1117117;1;EN;Australia;10;M;Boreal ar jacket men;2009;2_Good;No;WBW 3L Membrane;hood, arm pit, ;;;;;;;;;;;;;;;;;;main zipper, ;;;lining both cuffs, all zippers, hod facing, am pocket...;all, ;both cuffs, ;;;;;No;Yes;1011;30% Discount;shell;10;above
482;1/9/20;1117390;1;EN;New Zealand;10;L;Labrador sv jacket men;2006;1_Used;No;WBW 3L Membrane;;;;;;;;;side and front panels, ;;;;;;;;;;main zipper, ;;;cuffs lining, hood facing, chest and arm pocket zippers, lam pocket, ;all, ;both cuffs, pocket bag donuts, ;;;;arm pocket window, ;No;Yes;17;30% Discount;shell;14;above
343;12/13/19;1117812;1;EN;Australia;10;S;Boreal sl jacket women;2015;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;pocket zipper, ;all, ;;;;;;No;Yes;6;Replacement;shell;4;below
327;12/12/19;1117901;1;EN;Australia;10;XL;Ionian ar jacket men;2010;2_Good;No;WBW 3L Membrane;right arm pit, ;;;;;;;;;;;;;;;;;neck, ;;;;hood facing, lam pocket, pocket bags, all zippers;all, ;both cuffs, pocket bag donuts, neck, ;;;;;No;Yes;1008;30% Discount;shell;9;above
338;12/13/19;1118070;1;EN;Australia;10;S;Apka women;2014;2_Good;No;WBW 3L Membrane;;;;;;;right arm, ;;;;;;;;;;;;;;;;;;;;;;No;Yes;0;Repair;shell;5;below
307;12/10/19;1118084;1;EN;Australia;10;L;Tasman lt men;2018;2_Good;No;Down Loft;;;;;;;;right arm, ;;;;;;;;;;;;;;;;;;;;;Yes;Yes;3;Replacement;shell;1;below
324;12/11/19;1118089;1;EN;Australia;10;XL;Tasman lt women;2017;2_Good;No;Down Loft;;;;upper back, lower back, ;;;;;;;;;;;;;;;;;main zipper, ;;;;;;;;No;Yes;1001;Replacement;shell;2;above
311;12/10/19;1118093;1;EN;Australia;10;M;Tasman lt men;2015;2_Good;No;Down Loft;;;;;;;;;;;;;;;;;;;;;main zipper, ;;;;;;;;No;Yes;1;Repair;shell;4;below
329;12/12/19;1118103;1;EN;Australia;10;L;Kara jacket men;2014;2_Good;No;WBW 3L Membrane;lower right front panel, arm pits,;;;;;;;;;;;;;;;;;;main zipper, ;;;;;;;;;;No;Yes;1003;Replacement;shell;5;above
376;1/22/20;1118354;1;EN;Australia;2;XL;Atlantis ar jacket men;2015;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;;main zipper,;front pocket zippers, ;;;;;;;No;Yes;4;Repair;shell;5;above
321;12/11/19;1118489;1;EN;Australia;10;M;Boreal lt hybrid jacket women;2015;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;right pocket zipper,;;hood facing, ;;both cuffs, neck, ;;;;;No;Yes;7;Replacement;shell;4;below
352;12/16/19;1118650;1;EN;Australia;10;L;Ionian ar jacket men;2010;1_Used;No;WBW 3L Membrane;arm pits, ;;;;;;;;;;;;;;;;;neck, ;main zipper, ;;;all zippers, hood facing, pocket bags, lam pocket, ;both cuffs, donuts inside pocket bags, ;both cuffs, arm pit donuts, ;;;;;No;Yes;1011;30% Discount;shell;9;above
308;12/10/19;1118720;1;EN;Australia;10;M;Ionian ar jacket men;2008;1_Used;No;WBW 3L Membrane;lower right front panel, lower left front panel, ;;;;;;;;;;;;;;;;;;main zipper, ;;;;;;;;;;No;Yes;1003;30% Discount;shell;11;above
393;12/20/19;1119092;1;EN;Australia;10;XL;Boreal ar jacket men;2016;1_Used;No;WBW 3L Membrane;shoulders, arm pits, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;3;above
567;1/24/20;1119133;1;EN;Australia;2;L;Atlantis lt jacket women;2011;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;;;lam pocket, pocket bag, ;all, ;main zipper, both cuffs, pocket bag donuts, ;;;;;No;No;8;Replacement;shell;9;above
394;12/20/19;1119159;1;EN;Australia;10;S;Boreal ar jacket men;2010;2_Good;No;WBW 3L Membrane;arm pits, ;neck, ;;;;;;;;;;;;;;;;neck, ;;;;all zippers, hood facing, lam pocket, pocket bags, ;all, ;neck, ;;;;;No;Yes;2008;Replacement;shell;9;above
395;12/20/19;1119163;1;EN;Australia;10;XS;Boreal ar jacket women;2015;2_Good;No;WBW 3L Membrane;shoulders, inside left pocket, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;4;above
396;12/20/19;1120016;1;EN;Australia;10;XL;Tasman sl jacket men;2016;2_Good;No;Down Loft;;;;seam back, ;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;3;above
366;12/17/19;1120126;1;EN;Australia;10;M;stinger jacket men;2007;1_Used;No;WBW 3L Membrane;arm pits, ;;;;;;;;;;;;;;;all over, ;;neck, ;;;;all zippers, hood faicng, lam pocket, ;all, ;neck, both cuffs, ;;;;;No;Yes;1008;30% Discount;shell;12;above
458;1/7/20;1120184;1;EN;Australia;10;L;Ionian lt jacket men;2001;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;left arm pit zipper, ;;all zippers, cuffs lining, hood facing, hood cord tunnel, ;all, ;neck, pocket bag donuts, ;;;;;No;Yes;10;30% Discount;shell;19;equal
392;12/20/19;1120368;1;EN;Australia;10;L;Boreal ar jacket men;2013;2_Good;No;WBW 3L Membrane;arm pits, front panels, both cuffs, ;;;;;;;;;;;;;;;;;;;;main zipper, ;;;;;;;;No;Yes;1001;Replacement;shell;6;above
372;12/18/19;1120392;1;EN;Australia;10;L;Atlantis sl jacket men;2006;3_Excellent;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;;al, ;neck, ;;;;;No;Yes;5;Replacement;shell;13;below
357;12/16/19;1120421;1;EN;Australia;10;L;Boreal sv jacket men;2012;2_Good;No;WBW 3L Membrane;hood, ;;;;;;;;;;;;;;;;;;;;;hood facing, all zippers, ;all, including donuts inside pocket bags, ;hood cord tunnel, ;;;;;No;Yes;1008;Replacement;shell;7;above
354;12/16/19;1120427;1;EN;Australia;10;M;Boreal ar jacket women;2011;2_Good;No;WBW 3L Membrane;both cuffs, shoulders, arm pits, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;8;above
360;12/17/19;1120436;1;EN;Australia;10;M;Ionian ar jacket men;2011;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;neck, ;;;;hood facing, ;all including donuts inside hand pockets , self repaired waist and hem;neck, pocket bag donuts, arm pit donuts, both cuffs, ;;;;;No;Yes;8;Repair;shell;8;below
318;12/11/19;1120448;1;EN;Australia;10;L;Mediterranean lt men;2015;2_Good;No;K Fleece;;;;;;;;;;;;;;;;;;;main zipper, ;;;;;;both cuffs, ;;;;No;Yes;3;Repair;shell;4;below
322;12/11/19;1120463;1;EN;Australia;10;M;Mediterranean lt women;2016;2_Good;No;K Fleece;;;;;;forearms, arm pits, ;;forearms, arm pits, ;;;;;;;;;;;;;;;;;both cuffs, ;;;;No;Yes;3;50% Discount;shell;3;below
400;12/27/19;1120528;1;EN;Australia;10;L;Atlantis sl jacket men;2011;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;arm pit zips, ;;;;;;;No;Yes;3;Replacement;shell;8;below
362;12/17/19;1120786;1;EN;Australia;10;XL;Tasman lt men;2017;2_Good;No;Down Loft;;;;;;;;;front right panel, ;;;;;neck, ;;;;;main zipper,;;;;;;;;;;No;Yes;12;50% Discount;shell;2;above
424;1/2/20;1120830;1;EN;Australia;10;S;Tasman lt women;2016;2_Good;No;Down Loft;;;;;;;;;;;;;;;;;;;main zipper;;;;;;;;;;No;Yes;3;Repair;shell;4;below
386;12/19/19;1120932;1;EN;Australia;10;S;Ionan jacket men;2016;2_Good;Yes;WBW 3L Membrane;;;;;;;;back middle, ;;both cuffs, ;;;;;;;;;;;main zipper, ;all zippers, ;;;;;;;No;Yes;7;Repair;shell;3;below
370;12/18/19;1120968;1;EN;Australia;10;M;Boreal lt jacket women;2016;2_Good;No;WBW 3L Membrane;;hood, ;;;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;3;above
436;1/3/20;1121072;1;EN;Australia;10;XL;Tasman lt jacket men;2014;2_Good;Yes;Down Loft;;;;;;;;;right sleeve, lower left front panel, ;;;;;;;;;;main zipper, ;;;;;;;;;;No;Yes;9;50% Discount;shell;6;below
414;12/30/19;1121139;1;EN;Australia;10;S;Boreal ar jacket women;2013;2_Good;No;WBW 3L Membrane;neck, ;;;;;;;;front panel right, right arm, ;;;;;;;;;neck, ;;;;;;;;;;;No;Yes;1006;50% Discount;shell;6;above
380;12/19/19;1121224;1;EN;Australia;10;M;Bering sv jacket men;2013;2_Good;Yes;WBW 3L Membrane;light at hood, cuffs, ;;;;;;;;;both cuffs, ;;;;;;;;;main zipper, ;;;chest pocket zippers, ;;;;both hand pockets flaps, ;;;No;Yes;1008;Repair;shell;6;above
374;12/18/19;1121228;1;EN;Australia;10;XL;Biscay lt women;2019;2_Good;No;K Fleece;;;;;;;;;;;;;;;;;;;;;loose zipper,;;;;;;;;No;Yes;1;Repair;shell;0;below
718;1/10/20;1121703;1;EN;New Zealand;10;S;Boreal sl jacket women;2011;2_Good;No;WBW 2L Membrane;in hood facing, cuffs, ;;in pockets;;;;;;;;;;;;;;;;;;;;;;;;;;No;No;1000;Replacement;shell;9;above
384;12/19/19;1121860;1;EN;Australia;10;M;Ionian ar jacket women;2012;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;;;all zippers, hood facing, lam pocket, pocket bags, ;all, including donuts inside pockets,;neck, arm pit donuts, both cuffs, ;;;;;No;Yes;8;Repair;shell;7;below
361;12/17/19;1122043;1;EN;Australia;10;M;Ionian ar jacket women;2009;3_Excellent;No;WBW 3L Membrane;arm pits, neck, shoulders, ;;;;;;;;;;;;;;;;;neck, ;;;;all zippers, ;all, self repaired at hem, ,;nekc, pocket bag donuts, a;;;;;No;Yes;1008;Replacement;shell;10;above
326;12/12/19;1122745;1;EN;Australia;10;L;Tasman lt men;2014;2_Good;No;Down Loft;;;;;;;;left arm, ;;;;;;;;;;;;;;;;;;;;;No;Yes;3;50% Discount;shell;5;below
429;1/2/20;1123335;1;EN;Australia;10;L;Mediterranean ar men;2019;2_Good;No;K Fleece;;;;;;;;left arm, ;;;;;;;;;;;;;;;;;;;;;No;Yes;3;50% Discount;shell;1;below
439;1/3/20;1123385;1;EN;Australia;10;L;Mediterranean lt men;2010;2_Good;No;K Fleece;;;;;;;;;both arms, front panel, ;;;;;;;;;;;;main zipper, ;;;;;;;;No;Yes;7;50% Discount;shell;10;below
371;12/18/19;1123476;1;EN;Australia;10;XXL;Mediterranean lt men;2018;2_Good;No;K Fleece;;;;;;;;;;front panel left, ;;;;front panel left, ;;;;;main zipper, ;;;;;;;;;;No;Yes;6;50% Discount;shell;1;below
746;1/20/20;1123708;1;EN;New Zealand;2;XL;Atlantis sl jacket men;2009;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;;right cuff, left cuff, hem drawcord, ;;;;;;No;Yes;3;Replacement;shell;11;above
373;12/18/19;1124538;1;EN;Australia;10;M;Atlantis sl jacket men;2016;2_Good;No;WBW 2L Membrane;;loer back, hood, ;;;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;3;above
365;12/17/19;1124541;1;EN;Australia;10;S;Boreal sl hybrid jacket women;2017;2_Good;No;WBW 2L Membrane;;;;;;;;right arm, ;;;;;;;;;;;;;;;;;;;;;No;Yes;3;50% Discount;shell;2;below
408;12/27/19;1124543;1;EN;Australia;10;S;Ionian ar jacket women;2011;2_Good;No;WBW 3L Membrane;neck and shoulders, ;;;;;;;;;;;;;;;;;neck, ;;;;;all, including inside pocket donuts,;neck, ;;;;;No;Yes;1005;Replacement;shell;8;above
356;12/16/19;1124569;1;EN;Australia;10;XS;Mediterranean ar women;2017;2_Good;No;K Fleece;;;;;;;;;;;;;;;;;;;main zipper, ;;;;;;both cuffs, ;;;;No;Yes;3;Repair;shell;2;below
404;12/27/19;1124572;1;EN;Australia;10;L;Boreal ar jacket men;2013;2_Good;No;WBW 3L Membrane;front panel, pocket bags, arm pit, cuffs, ;;;;;;;;;;;;;;;;;neck, ;;;;;;;;;;;No;Yes;1000;Replacement;shell;6;above
359;12/17/19;1124575;1;EN;Australia;10;XL;Bering sv jacket men;2014;2_Good;No;WBW 3L Membrane;;;;;;;;;middle back, left hand cuff, ;;both cuffs, ;;;hood, ;;right arm, ;;;main zipper;;;all zippers, ;;;;;;;No;Yes;18;30% Discount;shell;5;above
391;12/20/19;1124576;1;EN;Australia;10;L;Boreal ar jacket men;2017;2_Good;No;WBW 3L Membrane;shoulders, arm pit, ;;;;;;;;;;;;;font right panel, ;;;;;;;;;;;;;;;No;No;1003;50% Discount;shell;2;above
470;1/8/20;1125568;1;EN;New Zealand;10;XL;Ionian ar jacket men;2000;1_Used;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;;;all zippers, hood facing, pocket bags, linings at cuffs;all, ;cuffs, ;;;;;No;Yes;8;30% Discount;shell;20;below
451;1/6/20;1125690;1;EN;Australia;10;L;Boreal ar jacket men;2016;2_Good;No;WBW 3L Membrane;shoulders, neck, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;4;above
407;12/27/19;1125700;1;EN;Australia;10;XL;Boreal ar jacket men;2015;2_Good;No;WBW 3L Membrane;front panels and back;;;;;;;;;;;;;;;;;front panels and back;;;;;;;;;;;No;Yes;1000;Replacement;shell;4;above
732;1/14/20;1125862;1;EN;Australia;10;M;Bering sv jacket men;2012;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;;main zipper slider damaged;;;;;;;;Yes;Yes;1;Repair;shell;8;below
474;1/8/20;1125878;1;EN;New Zealand;10;M;Boreal ar jacket men;2007;2_Good;No;WBW 3L Membrane;cuffs, ;;;;;;;;;;;;;;;;;;;;;hood facing, lam pocket, neck pad, all zippers, ;all, ;neck, both cuffs, ;;;;;No;Yes;1008;30% Discount;shell;13;above
406;12/27/19;1126354;1;EN;Australia;10;L;Ionian ar jacket men;2017;2_Good;No;WBW 3L Membrane;neck, arm pit;;;;;;;let hand pocket bag, ;;;;;;;;;;arm pit, neck, ;;;main zipper, ;hood facing, all zippers, ;;left pocket bags donuts, ;;;;;No;Yes;1009;Replacement;shell;2;above
481;1/9/20;1126365;1;EN;Australia;10;XL;Ionian ar jacket men;2008;1_Used;No;WBW 3L Membrane;;;;;;;;;;front panel lower, ;right arm, ;;;;;;;;;;;all zippers, hood facing, cuffs lining, ;;neck, both cuffs, ;;;;;No;Yes;8;30% Discount;shell;12;below
422;1/2/20;1126589;1;EN;Australia;10;M;Tasman lt women;2018;2_Good;No;Down Loft;;;;back, seams, ;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;2;above
437;1/3/20;1127045;1;EN;Australia;10;S;Lazarev jacket women;2014;2_Good;Yes;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;;main zipper, ;all pockets, ;;;;;;;No;Yes;4;Repair;shell;6;below
434;1/3/20;1127408;1;EN;Australia;10;S;Molucca lt jacket women;2016;2_Good;No;WBW 3L Membrane;shoulders, neck, ;shoulders, neck, ;;;;;;;;;;;;;;;;shoulders, neck, ;;;;;;;;;;;No;Yes;2000;Replacement;shell;4;above
721;1/13/20;1127525;1;EN;New Zealand;10;XL;Ionian ar jacket men;2011;2_Good;No;WBW 3L Membrane;;hood, ;;;;;;;;;;;;;;;;;;;;;right cuff, left cuff, hang tag, powder skirt, hem drawcord, ;left pocket bag donuts, right pocket bag donuts, ;;;;;No;No;1005;Replacement;shell;9;above
477;1/9/20;1127871;1;EN;Australia;10;L;Boreal ar jacket men;2013;1_Used;No;WBW 3L Membrane;cuffs, neck, ;;;;;;;right arm, ;;;;;;;;;;;;;main zipper, ;all zippers, ;;;;;;;No;Yes;1007;Replacement;shell;7;above
469;1/8/20;1128007;1;EN;New Zealand;10;M;Atlantis lt jacket men;2006;1_Used;No;WBW 3L Membrane;;;;;;;;;;;;;;;;all over, ;;;;;;cuffs lining, all zippers, hood facing, lam pocket, pocket bags, ;all, ;neck, arm pit donuts, pocket bag donuts, ;;;;;No;Yes;8;30% Discount;shell;14;below
410;12/30/19;1128089;1;EN;Australia;10;S;Atlantis fl jacket men;2018;2_Good;No;WBW 3L Membrane;;;;;;;;right arm, ;;;;;;;;;;;;;;;;;;;;;No;Yes;3;Repair;shell;1;below
419;12/31/19;1128194;1;EN;Australia;10;M;Lysu women;2007;2_Good;No;K Fleece;;;;;;;;;;;;;;;;;;;main zipper,;;;all zippers, ;replace 70D at hem drawcord,;;;;;;No;Yes;9;Repair;shell;12;below
421;12/31/19;1129099;1;EN;Australia;10;M;Tasman lt women;2015;2_Good;No;Down Loft;;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;0;Repair;shell;4;below
430;1/2/20;1129132;1;EN;Australia;10;M;Tasman lt women;2017;2_Good;No;Down Loft;;;;through seams at the back, ;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;3;above
390;12/20/19;1129154;1;EN;Australia;10;M;Tasman lt women;2018;2_Good;No;Down Loft;;;;;;;;front right panel;;;;;;;;;;;;;;;;;;;;;No;Yes;3;50% Discount;shell;1;below
433;1/3/20;1129186;1;EN;Australia;10;S;Ionian ar jacket men;2014;1_Used;No;WBW 3L Membrane;neck, shoulders, ;;;;;;;;;;;;;;;;;neck, ;;;main zipper, ;all zippers, hood facing, ;al, ;;;;;;No;Yes;1007;Replacement;shell;6;above
431;1/2/20;1129221;1;EN;Australia;10;L;Bering sv jacket men;2013;2_Good;No;WBW 3L Membrane;slight front right panel, ;;;;;;;;;both cuffs, ;;;;;;;;;;;main zipper, ;chest pockets both sides, ;;;;;;;No;Yes;1004;Repair;shell;7;above
417;1/2/20;1129410;1;EN;Australia;10;S;Molucca lt jacket men;2016;2_Good;No;WBW 3L Membrane;;;;;;;lower back inside 2 small rips/baker came off;;;;;;;;;;neck, ;;;;main zipper, ;hood facing, ;;neck, around hem where backer came hoff (ignore around hem only);;;;;No;Yes;6;Repair;shell;4;below
409;12/27/19;1129504;1;EN;Australia;10;L;Orice jacket men;2015;2_Good;No;Down Loft;;;;;;;;;;;;;;;;;;;main zipper;;;;;;;;;;No;Yes;3;Repair;shell;4;below
403;12/27/19;1129596;1;EN;Australia;10;L;Biscay lt men;2018;2_Good;No;K Fleece;;;;;;;;;;;;;;insidecolar, ;;;;;;;;;;;;;;;No;Yes;3;50% Discount;shell;1;below
418;12/30/19;1129705;1;EN;Australia;10;M;Boreal ar jacket men;2013;2_Good;No;WBW 3L Membrane;cuffs, neck, ;;;;;;;;;;;;;;;;;neck, ;;;;all zippers, ;;;;;;;No;Yes;1003;Replacement;shell;6;above
