Column1;Date;Case Number;ItemInCase;Language;Country;Repairability Index;Size;Model name;Year;General condition;Wash;Fabric;Fabric failure - Membrane delamination;Fabric failure - Leak through;Fabric failure - Wetting out;Fabric failure - Down leakage;Fabric failure - Fading;Fabric failure - Pilling;Fabric torn - Rips - Patchable;Fabric torn - Rips - Not patchable - 1 panel;Fabric torn - Rips - Not patchable - X panels;Fabric torn - Abrasion - Light;Fabric torn - Abrasion - Heavy - 1 panel;Fabric torn - Abrasion - Heavy - X panels;Fabric torn - Burn - Patchable - ;Fabric torn - Burn - Not patchable - 1 panel;Fabric torn - Burn - Not patchable - X panels;Fabric torn - Stain;Fabric torn - Membrane contamination - Light;Fabric torn - Membrane contamination - Heavy;Zipper failure - Zipper structureMain;Zipper failure - Zipper structureAll except main;Zipper failure - Zipper slider;Delamination - Press;Delamination - 70D Nylon;Delamination - Seam tape;Seam failure - Seam sewn non-WBW Membrane;Delamination - Seam sewn WBW Membrane;Delamination - Seam laminated;Other - Buckle;Known_issue;Repair solution;Repair Threshold;Customer Offer;Product_type;Age;Repair Threshold Status
211;11/26/19;1109283;1;EN;Australia;10;L;Atlantis sl jacket men;2009;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;hood facing, ;all,;neck, hood cord tunnel,;;;;;No;Yes;8;Replacement;shell;10;below
229;11/27/19;1109290;1;EN;Australia;10;M;Boreal ar jacket men;2004;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;everywhere,;;main zipper, ;;;lining both cuffs, neck pad, laminated pocket,hood facing,;all, ;both cuffs, pocket bag donuts, neck, arm pit zippers arcteryx logo, upper chest pocket ;;;;;No;Yes;11;30% Discount;shell;15;above
241;11/28/19;1109316;1;EN;Australia;10;L;Boreal ar jacket men;2017;2_Good;No;WBW 3L Membrane;left shoulder, right shoulder, right arm pit zipper, left arm pit zipper, neck, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;2;above
252;12/2/19;1109332;1;EN;Australia;10;M;Boreal ar jacket women;2010;3_Excellent;No;WBW 3L Membrane;upper back, left shoulder, right shoulder, ;;;;;;;;;;;;;;;;;;;;;;;neck, ;;;;;No;Yes;1002;Replacement;shell;9;above
381;12/20/19;1109351;1;EN;Australia;10;XS;Atlantis sv jacket women;2005;1_Used;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;;;lining both cuffs, all zippers, pocket bags, lam pockets, hood facing, ;all including inside pocket strap,;both cuffs, neck, pocket bag donuts, arm pit donuts, ;;;;Replace poder skirt, ;No;Yes;8;30% Discount;shell;14;below
383;12/19/19;1109360;1;EN;Australia;10;XL;Atlantis sv jacket men;2012;2_Good;No;WBW 3L Membrane;hood, neck, ;;;;;;;;;;;;;;;;;;;;;;;nck, ;;;;;No;Yes;1002;Replacement;shell;7;above
194;11/22/19;1109368;1;EN;Australia;10;S;Atlantis lt jacket men;2007;2_Good;No;WBW 3L Membrane;;;;;;;;;hem, ;;;;;;;;;;;;;hood facing, collar, ;all, ;neck, hem both sides , ;;;;;No;Yes;14;30% Discount;shell;12;above
197;11/22/19;1109513;1;EN;Australia;10;S;Boreal ar jacket women;2014;2_Good;No;WBW 3L Membrane;neck, right arm pit, left arm pit, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;5;above
294;12/6/19;1109750;1;EN;Australia;10;L;Boreal ar jacket men;2004;2_Good;No;WBW 3L Membrane;left shoulder, right shoulder, ;;;;;;;;;;;;;;;;;;main zipper;;;lining both cuffs, all zippers, ;;both cuffs, ;;;;;No;Yes;1008;30% Discount;shell;15;above
222;11/27/19;1109772;1;EN;Australia;10;L;Mediterranean lt men;2009;2_Good;No;K Fleece;;;;;;;;;;;;;;;;;;;;;;;hem drawcord sides;;;;;;No;Yes;3;Repair;shell;10;below
231;11/27/19;1109926;1;EN;Australia;10;L;Red parka women;2015;2_Good;No;K Fleece;;;;;;;;;;;;;;;;;;;main zipper, ;;;;;;;;;;No;Yes;3;Repair;shell;4;below
247;11/29/19;1110183;1;EN;Australia;10;XL;Red parka women;2011;2_Good;No;K Fleece;;;;;;;;;;;;;;;;;;;main zipper, ;;;;;;;;;;No;Yes;3;Repair;shell;8;below
355;12/16/19;1110312;1;EN;Australia;10;L;Boreal sl jacket men;2008;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;;all, ;;;;;;No;Yes;3;Replacement;shell;11;below
277;12/5/19;1110612;1;EN;Australia;10;M;Ionian ar jacket women;2011;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;;;all zippers, hood facing, ;all including donuts inside pocket bags, ;both cuffs, pocket bag donuts, neck, ;;;;;No;Yes;8;Repair;shell;8;below
235;11/28/19;1110626;1;EN;Australia;10;XXL;Boreal lt hybrid jacket men;2016;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;;all,;neck, collar, ;;;;;No;Yes;5;Replacement;shell;3;below
218;11/26/19;1110657;1;EN;Australia;10;S;Boreal sl jacket women;2008;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;;all, ;neck, ;;;;;No;Yes;5;Replacement;shell;11;below
605;1/29/20;1110685;1;EN;Australia;2;M;Lazarev jacket women;2014;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;main zipper, ;;;all zippers, ;;;;;;;No;No;6;Replacement;shell;6;above
278;12/5/19;1110780;1;EN;Australia;10;S;Trident women;2006;2_Good;No;K Fleece;;;;;;;;;;;;;;;;;;;main zipper,;;;;at hem,;;;;;;No;Yes;6;Repair;shell;13;below
255;12/2/19;1111052;1;EN;Australia;10;L;Boreal ar jacket men;2014;2_Good;No;WBW 3L Membrane;right cuff, left cuff, ;;;;;;;self repaired right shoulder, ;;lower right front panel, lower left front panel, ;left pocket bag, ;;;;;;;neck, ;;right pocket zipper, ;;all zippers, hood facing, ;hem drawcord,  both cuffs, ;both cuffs, ;;;;;No;Yes;1016;Replacement;shell;5;above
353;12/16/19;1111306;1;EN;Australia;10;L;Boreal sl jacket men;2015;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;hood facing, ;hem, ;;;;;;No;Yes;6;Replacement;shell;4;below
341;12/13/19;1111320;1;EN;Australia;10;M;Adreatic jacket men;2008;2_Good;No;WBW 3L Membrane;arm pits, ;;;;;;;;;boh cuffs, ;;;;;;;;;main zipper,;;;hood facing, all zippers, ;all, including drawcord anchor,;;;;;cuffs straps not holding, ;No;Yes;1009;30% Discount;shell;11;above
258;12/2/19;1111359;1;EN;Australia;10;M;Boreal ar jacket women;2006;2_Good;No;WBW 3L Membrane;upper back, left shoulder, right shoulder, lower right front panel, lower left front panel, neck, ;;;;;;;;;;;;;;;;;;main zipper, ;;;pocket bags, hood facing, lam pocket, lining both cuffs, all zippers,;all, ;neck, pocket bag donuts, both cuffs, ;;;;;No;Yes;1011;30% Discount;shell;13;above
297;12/9/19;1111627;1;EN;Australia;10;S;Somov parka men;2015;2_Good;No;WBW 3L Membrane;;;;;;;;;;;lower left front panel, ;;;;;;;;;;;;;;;;;;No;Yes;3;Repair;shell;4;below
287;12/6/19;1111630;1;EN;Australia;10;M;Ionian ar jacket men;2007;1_Used;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;everywhere,;;main zipper, ;;;pocket bags, all zipers, lam pocket, hood facing, lining both cuffs, ;all including donuts inside pocket bags, hem self repaired;arm pits, pocket bag donuts, neck, both cuffs, ;;;;;No;Yes;11;30% Discount;shell;12;above
293;12/6/19;1112305;1;EN;Australia;10;M;Boreal sl jacket men;2009;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;;all 70D,;neck, hem drawcord, ;;;;;No;Yes;5;Replacement;shell;10;below
238;11/28/19;1112384;1;EN;Australia;10;M;Boreal ar jacket men;2008;2_Good;No;WBW 3L Membrane;right arm pit zipper, left arm pit zipper, right cuff, left cuff, ;;;;;;;;hood, ;;;;;;;;;;main zipper, ;;;all zippers, hood facing, ;all 70D,;neck, right pocket bag, left pocket bag, ;;;;;No;Yes;1017;30% Discount;shell;11;above
401;12/27/19;1112386;1;EN;Australia;10;M;Boreal sl jacket women;2008;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;;all, ;neck, ;;;;;No;Yes;5;Replacement;shell;11;below
292;12/6/19;1112405;1;EN;Australia;10;L;Boreal lt jacket men;2017;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;alover brigh color, ;;both cuffs, neck, ;;;main zipper, ;;;both cuffs, ;;;;;No;Yes;3;Repair;shell;2;below
399;12/20/19;1112506;1;EN;Australia;10;S;Molucca sl jacket women;2018;2_Good;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;pocket bag, ;;neck, ;;;;;No;Yes;5;Replacement;shell;1;below
295;12/9/19;1112614;1;EN;Australia;10;XL;Boreal sl jacket women;2010;1_Used;No;WBW 2L Membrane;;;;;;;;;;;;;;;;;;;;;;hang tag, ;;hood, neck, ;;;;;No;Yes;5;30% Discount;shell;9;below
302;12/9/19;1112633;1;EN;Australia;10;L;Tasman lt men;2016;3_Excellent;Yes;Down Loft;;;;;;;;;;;;;;;;;;;main zipper, ;;;;;;;;;;No;Yes;3;Repair;shell;3;below
320;12/11/19;1112665;1;EN;Australia;10;XL;Boreal lt jacket women;2016;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;both hand pocket,;;hood facing, ;hang tag, ;both cuffs, neck, ;;;;;No;Yes;10;Repair;shell;3;equal
284;12/5/19;1112684;1;EN;Australia;10;L;Apka men;2012;1_Used;No;K Fleece;;;;;;;;;upper left front panel, right cuff, left cuff, ;lower right front panel, ;;;;;;;;;main zipper, ;right hand pocket,;;;;;left arm pit zipper, ;;;;No;Yes;11;30% Discount;shell;7;above
263;12/3/19;1112688;1;EN;Australia;10;L;Bering sv jacket men;2017;2_Good;Yes;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;;main zipper;;;;;;;;No;Yes;1;Repair;shell;2;below
245;11/29/19;1112707;1;EN;Australia;10;M;Tasman lt women;2017;2_Good;No;Down Loft;;;;upper back, lower back, ;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;2;above
348;12/16/19;1112708;1;EN;Australia;10;XS;Boreal ar jacket men;2015;2_Good;No;WBW 3L Membrane;left arm, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;4;above
257;12/2/19;1112710;1;EN;Australia;10;S;Atlantis sv jacket men;2016;2_Good;No;WBW 3L Membrane;arm pits minor small bubble,;;;;;;left elbow, ;;;;;;;;;;;neck, bothpockets, ;;main zipper;;Cohesive Cordlock, all zippers, ;;both cuffs, neck, ;;;;;No;Yes;1007;Repair;shell;3;above
280;12/5/19;1112725;1;EN;Australia;10;S;Atlantis sv jacket men;2004;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;;;lining at both cuffs, all zippers, laminated pocket, ockt bags, hood facing, neck pad, ;all, self repaired at hem, snow skirt missing, ;both cuffs, neck, pocketbag donuts,;;;;;No;Yes;8;30% Discount;shell;15;below
466;1/7/20;1112838;1;EN;Australia;10;S;Boreal ar jacket women;2013;2_Good;No;WBW 3L Membrane;neck, ;;;;;;;;;;;;;;;;;;;;;;;neck, ;;;;;No;Yes;1002;Replacement;shell;7;above
265;12/3/19;1113087;1;EN;Australia;10;M;Red jacket men;2011;2_Good;No;WBW 3L Membrane;;;;;;;;;left arm pit;right and left front panels, ;;;;;;;;;main zipper, ;;;all zippers, left arm pit zip;all, ;;;;;;Yes;Yes;15;Replacement;shell;8;above
219;11/26/19;1113157;1;EN;Australia;10;L;Mediterranean ar men;2016;2_Good;No;K Fleece;;;;;;;;right cuff, ;;;;;;;;;;;main zipper,;;;;;;;;;;No;Yes;6;50% Discount;shell;3;below
296;12/9/19;1113213;1;EN;Australia;10;M;Boreal ar jacket women;2012;2_Good;No;WBW 3L Membrane;left shoulder, right shoulder, ;;;;;;;;;;;;;;;;;;;;;;hang tag, hem drawcord, ;;;;;;No;Yes;1003;Replacement;shell;7;above
315;12/4/19;1113233;1;EN;Australia;10;L;Molucca lt jacket men;2016;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;;;hood facing, ;;both cuffs, ;;;;;No;Yes;5;Repair;shell;3;below
299;12/9/19;1113241;1;EN;Australia;10;S;Atlantis sv jacket men;2009;2_Good;Yes;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;;;all zippers, hood facing, ;both cuffs, pocket bags donuts, neck, ;both cuffs, hood,  ;;;;;No;Yes;8;Repair;shell;10;below
